model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,pytorch,CPU,38,9.8317,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,39,9.7228,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,40,9.7842,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,41,9.5920,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,42,9.8368,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,43,9.8050,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,44,9.7333,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,45,9.7816,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,46,9.5632,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,47,9.6078,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,48,9.5377,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,49,9.9473,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,50,9.7590,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,51,9.8224,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,52,9.7617,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,53,9.7976,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,54,9.7367,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,55,9.7068,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,56,9.7901,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,57,9.6876,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,58,9.7326,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,59,9.5125,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,60,9.7895,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,61,9.7735,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,62,9.7329,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,63,9.7477,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,64,9.7348,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,65,9.7970,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,66,9.7371,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,67,9.7794,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,68,9.7134,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,69,9.8640,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,70,9.7270,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,71,9.6339,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,72,9.8044,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,73,9.7654,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,74,9.6612,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,75,9.8093,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,76,9.7762,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,77,9.6000,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,78,9.7613,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,79,9.9267,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,80,9.5496,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,81,9.5890,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,82,9.7930,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,83,9.5478,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,84,9.5932,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,85,9.9684,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,86,9.7296,9.7407,9.5125,10.0043,9.7589,0.0999
