ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745347268.2917886,100.0,23256,0,0.0,4.0
1745347269.3879476,100.0,24181,0,0.0,4.0
1745347270.4912145,100.0,24966,0,0.0,4.0
1745347271.6154814,99.9,25010,0,0.0,4.0
1745347272.750668,100.0,26587,0,0.0,4.0
1745347273.8820295,98.2,23949,0,0.0,4.0
1745347274.925694,77.4,20472,0,0.0,4.0
1745347276.016004,67.0,17126,0,0.0,4.0
1745347277.1284828,78.7,14136,0,0.0,4.0
1745347278.191281,99.9,15451,0,0.0,4.0
1745347279.2553055,100.0,15713,0,0.0,4.0
1745347280.3368068,100.0,15949,0,0.0,4.0
1745347281.4058542,100.0,15953,0,0.0,4.0
1745347282.5018132,99.9,14596,0,0.0,4.0
1745347283.56389,99.9,14547,0,0.0,4.0
1745347284.6229494,99.9,15717,0,0.0,4.0
1745347285.6879275,96.9,15304,0,0.0,4.0
1745347286.7221084,98.8,16043,0,0.0,4.0
1745347287.8300445,100.0,17063,0,0.0,4.0
1745347288.9500332,100.0,18823,0,0.0,4.0
1745347290.0713422,100.0,21099,0,0.0,4.0
1745347291.1629288,100.0,25327,0,0.0,4.0
1745347292.2739809,100.0,26548,0,0.0,4.0
1745347293.4339888,100.0,27366,0,0.0,4.0
1745347294.5860472,100.0,27573,0,0.0,4.0
1745347295.7311873,100.0,27278,0,0.0,4.0
1745347296.8220165,100.0,26651,0,0.0,4.0
1745347297.925212,100.0,26278,0,0.0,4.0
1745347299.0382068,100.0,26028,0,0.0,4.0
1745347300.1660314,100.0,24783,0,0.0,4.0
1745347301.2940109,97.1,22373,0,0.0,4.0
1745347302.3437972,91.5,24160,0,0.0,4.0
1745347303.4788778,71.8,16648,0,0.0,4.0
1745347304.5380673,99.5,22475,0,0.0,4.0
1745347305.7621145,98.9,24434,0,0.0,4.0
1745347306.8380778,99.9,25969,0,0.0,4.0
1745347307.9471247,100.0,26560,0,0.0,4.0
1745347309.0774674,100.0,26533,0,0.0,4.0
1745347310.2592359,100.0,26557,0,0.0,4.0
1745347311.4190745,100.0,26621,0,0.0,4.0
1745347312.5460017,100.0,26562,0,0.0,4.0
1745347313.7594547,100.0,26897,0,0.0,4.0
1745347314.8907127,100.0,26699,0,0.0,4.0
1745347316.0224853,100.0,27617,0,0.0,4.0
1745347317.1620376,100.0,27108,0,0.0,4.0
1745347318.2753658,99.8,26934,0,0.0,4.0
1745347319.377428,66.0,22445,0,0.0,4.0
1745347320.4485233,88.2,20145,0,0.0,4.0
1745347321.5303385,90.5,19769,0,0.0,4.0
1745347322.586963,96.6,20279,0,0.0,4.0
1745347323.692741,97.7,21056,0,0.0,4.0
1745347324.7905328,100.0,20887,0,0.0,4.0
1745347325.955711,100.0,21738,0,0.0,4.0
1745347327.0742507,100.0,22301,0,0.0,4.0
1745347328.1985464,100.0,22718,0,0.0,4.0
1745347329.4502764,100.0,22898,0,0.0,4.0
1745347330.702221,100.0,22205,0,0.0,4.0
1745347332.0269773,100.0,22356,0,0.0,4.0
1745347333.1898477,100.0,22594,0,0.0,4.0
1745347334.6006117,100.0,21617,0,0.0,4.0
1745347335.7747035,100.0,22455,0,0.0,4.0
1745347337.0913193,100.0,22364,0,0.0,4.0
1745347338.249996,96.7,23151,0,0.0,4.0
1745347339.4426837,98.3,23560,0,0.0,4.0
1745347340.5759785,98.7,23479,0,0.0,4.0
1745347341.6618996,94.3,25917,0,0.0,4.0
1745347342.963745,99.0,29154,0,0.0,4.0
1745347344.1736736,100.0,31389,0,0.0,4.0
1745347345.278028,98.9,33588,0,0.0,4.0
1745347346.4591465,100.0,37825,0,0.0,4.0
1745347347.7603903,100.0,40697,0,0.0,4.0
1745347348.9502015,100.0,41631,0,0.0,4.0
1745347350.159122,100.0,43257,0,0.0,4.0
1745347351.3748467,100.0,43919,0,0.0,4.0
